
----------------------------------------------------------------------------
Started at: 23-Sep-2024 17:01:25

START	233.091		0
Display	Stimulus	Tag	Time
TRIGGER	StimTracker	64	1427.4758
TRIGGER	StimTracker	64	1429.0624
TRIGGER	StimTracker	128	1430.6329
TRIGGER	StimTracker	64	1432.4847
TRIGGER	StimTracker	64	1434.4048
TRIGGER	StimTracker	64	1436.2695
TRIGGER	StimTracker	64	1437.9657
TRIGGER	StimTracker	64	1439.9674
TRIGGER	StimTracker	64	1441.7571
TRIGGER	StimTracker	64	1443.7629
TRIGGER	StimTracker	64	1445.3228
TRIGGER	StimTracker	128	1446.9563
TRIGGER	StimTracker	64	1448.8887
TRIGGER	StimTracker	64	1450.8921
TRIGGER	StimTracker	64	1452.8279
TRIGGER	StimTracker	64	1454.5027
TRIGGER	StimTracker	128	1456.0982
TRIGGER	StimTracker	64	1458.0479
TRIGGER	StimTracker	64	1459.968
TRIGGER	StimTracker	4	1480.0002
TRIGGER	StimTracker	64	1480.0116
TRIGGER	StimTracker	128	1481.6544
TRIGGER	StimTracker	64	1483.5675
TRIGGER	StimTracker	64	1485.579
TRIGGER	StimTracker	64	1487.8097
TRIGGER	StimTracker	128	1489.6962
TRIGGER	StimTracker	64	1491.6289
TRIGGER	StimTracker	64	1493.2788
TRIGGER	StimTracker	64	1495.2801
TRIGGER	StimTracker	64	1497.2278
TRIGGER	StimTracker	64	1499.0527
TRIGGER	StimTracker	64	1500.9709
TRIGGER	StimTracker	64	1502.846
TRIGGER	StimTracker	64	1504.7568
TRIGGER	StimTracker	128	1506.8444
TRIGGER	StimTracker	64	1508.891
TRIGGER	StimTracker	128	1511.097
TRIGGER	StimTracker	64	1513.269
TRIGGER	StimTracker	64	1515.0038
TRIGGER	StimTracker	64	1517.0709
TRIGGER	StimTracker	64	1518.737
TRIGGER	StimTracker	64	1520.407
TRIGGER	StimTracker	128	1522.0611
TRIGGER	StimTracker	64	1523.6891
TRIGGER	StimTracker	64	1525.7226
TRIGGER	StimTracker	64	1527.3105
TRIGGER	StimTracker	64	1529.3437
TRIGGER	StimTracker	128	1531.4258
TRIGGER	StimTracker	64	1533.6636
TRIGGER	StimTracker	64	1535.4114
TRIGGER	StimTracker	4	1558.6454
TRIGGER	StimTracker	128	1558.6573
TRIGGER	StimTracker	64	1560.7025
TRIGGER	StimTracker	64	1563.0239
TRIGGER	StimTracker	64	1564.8332
TRIGGER	StimTracker	64	1566.9703
TRIGGER	StimTracker	128	1568.7315
TRIGGER	StimTracker	64	1570.668
TRIGGER	StimTracker	64	1572.9761
TRIGGER	StimTracker	128	1574.8983
TRIGGER	StimTracker	64	1576.9692
TRIGGER	StimTracker	64	1578.9881
TRIGGER	StimTracker	64	1581.404
TRIGGER	StimTracker	128	1583.2128
TRIGGER	StimTracker	64	1585.1492
TRIGGER	StimTracker	128	1587.3447
TRIGGER	StimTracker	64	1589.267
TRIGGER	StimTracker	64	1591.274
TRIGGER	StimTracker	64	1593.4142
TRIGGER	StimTracker	64	1595.4629
TRIGGER	StimTracker	64	1597.29
TRIGGER	StimTracker	64	1599.5929
TRIGGER	StimTracker	128	1601.6911
TRIGGER	StimTracker	64	1603.7328
TRIGGER	StimTracker	64	1605.675
TRIGGER	StimTracker	64	1607.8467
TRIGGER	StimTracker	64	1609.9084
TRIGGER	StimTracker	64	1611.949
TRIGGER	StimTracker	64	1614.109
TRIGGER	StimTracker	64	1616.0685
TRIGGER	StimTracker	64	1617.6715
TRIGGER	StimTracker	1	1633.9675
TRIGGER	StimTracker	64	1633.9789
TRIGGER	StimTracker	64	1635.6911
TRIGGER	StimTracker	64	1637.3558
TRIGGER	StimTracker	64	1638.7739
TRIGGER	StimTracker	64	1640.5432
TRIGGER	StimTracker	64	1642.265
TRIGGER	StimTracker	128	1643.6632
TRIGGER	StimTracker	128	1645.1141
TRIGGER	StimTracker	64	1646.5983
TRIGGER	StimTracker	64	1648.3528
TRIGGER	StimTracker	64	1649.7695
TRIGGER	StimTracker	64	1651.3049
TRIGGER	StimTracker	64	1652.8404
TRIGGER	StimTracker	128	1654.2569
TRIGGER	StimTracker	64	1656.0502
TRIGGER	StimTracker	64	1657.7696
TRIGGER	StimTracker	64	1659.552
TRIGGER	StimTracker	64	1661.2406
TRIGGER	StimTracker	128	1662.9149
TRIGGER	StimTracker	64	1664.4918
TRIGGER	StimTracker	64	1666.2382
TRIGGER	StimTracker	64	1667.6612
TRIGGER	StimTracker	64	1669.151
TRIGGER	StimTracker	64	1670.5263
TRIGGER	StimTracker	64	1672.3687
TRIGGER	StimTracker	128	1674.2175
TRIGGER	StimTracker	64	1675.652
TRIGGER	StimTracker	64	1677.2983
TRIGGER	StimTracker	128	1679.0418
TRIGGER	StimTracker	64	1680.6001
TRIGGER	StimTracker	1	1693.236
TRIGGER	StimTracker	64	1693.2472
TRIGGER	StimTracker	64	1694.8865
TRIGGER	StimTracker	64	1696.5161
TRIGGER	StimTracker	64	1698.0148
TRIGGER	StimTracker	128	1699.7558
TRIGGER	StimTracker	128	1701.5698
TRIGGER	StimTracker	64	1703.2959
TRIGGER	StimTracker	64	1704.9116
TRIGGER	StimTracker	128	1706.7443
TRIGGER	StimTracker	64	1708.2373
TRIGGER	StimTracker	64	1709.9205
TRIGGER	StimTracker	64	1711.8147
TRIGGER	StimTracker	128	1713.3634
TRIGGER	StimTracker	64	1714.8522
TRIGGER	StimTracker	128	1716.6771
TRIGGER	StimTracker	128	1718.0821
TRIGGER	StimTracker	64	1719.6022
TRIGGER	StimTracker	64	1721.2578
TRIGGER	StimTracker	64	1722.7239
TRIGGER	StimTracker	64	1724.4031
TRIGGER	StimTracker	64	1726.1678
TRIGGER	StimTracker	64	1727.7839
TRIGGER	StimTracker	64	1729.4723
TRIGGER	StimTracker	64	1731.2864
TRIGGER	StimTracker	64	1732.8163
TRIGGER	StimTracker	64	1734.5326
TRIGGER	StimTracker	64	1735.9603
TRIGGER	StimTracker	64	1737.5783
TRIGGER	StimTracker	64	1739.4113
TRIGGER	StimTracker	64	1741.2869
TRIGGER	StimTracker	4	1750.3659
TRIGGER	StimTracker	128	1750.3775
TRIGGER	StimTracker	128	1752.0761
TRIGGER	StimTracker	64	1754.2163
TRIGGER	StimTracker	64	1756.01
TRIGGER	StimTracker	128	1757.89
TRIGGER	StimTracker	64	1759.788
TRIGGER	StimTracker	64	1762.096
TRIGGER	StimTracker	128	1764.1784
TRIGGER	StimTracker	64	1766.0473
TRIGGER	StimTracker	64	1767.7406
TRIGGER	StimTracker	64	1769.6516
TRIGGER	StimTracker	64	1771.8187
TRIGGER	StimTracker	64	1773.7828
TRIGGER	StimTracker	64	1775.5802
TRIGGER	StimTracker	64	1777.6284
TRIGGER	StimTracker	64	1779.3727
TRIGGER	StimTracker	128	1781.3424
TRIGGER	StimTracker	64	1783.9273
TRIGGER	StimTracker	64	1785.9344
TRIGGER	StimTracker	64	1787.8687
TRIGGER	StimTracker	64	1790.061
TRIGGER	StimTracker	64	1791.9885
TRIGGER	StimTracker	128	1793.9716
TRIGGER	StimTracker	64	1796.192
TRIGGER	StimTracker	64	1798.484
TRIGGER	StimTracker	64	1800.3348
TRIGGER	StimTracker	64	1802.5162
TRIGGER	StimTracker	64	1804.7289
TRIGGER	StimTracker	64	1806.696
TRIGGER	StimTracker	64	1808.8065
TRIGGER	StimTracker	4	1834.4264
TRIGGER	StimTracker	64	1834.4374
TRIGGER	StimTracker	128	1836.4658
TRIGGER	StimTracker	64	1838.2406
TRIGGER	StimTracker	64	1840.2865
TRIGGER	StimTracker	64	1842.3523
TRIGGER	StimTracker	64	1844.1178
TRIGGER	StimTracker	64	1846.219
TRIGGER	StimTracker	64	1848.199
TRIGGER	StimTracker	64	1850.3389
TRIGGER	StimTracker	64	1852.498
TRIGGER	StimTracker	64	1854.6165
TRIGGER	StimTracker	128	1856.6501
TRIGGER	StimTracker	64	1858.5643
TRIGGER	StimTracker	128	1860.4448
TRIGGER	StimTracker	64	1862.6237
TRIGGER	StimTracker	64	1864.9837
TRIGGER	StimTracker	64	1866.8853
TRIGGER	StimTracker	64	1869.083
TRIGGER	StimTracker	64	1870.894
TRIGGER	StimTracker	64	1873.1789
TRIGGER	StimTracker	128	1875.2564
TRIGGER	StimTracker	64	1877.482
TRIGGER	StimTracker	64	1879.5781
TRIGGER	StimTracker	64	1881.3941
TRIGGER	StimTracker	64	1883.323
TRIGGER	StimTracker	128	1885.4403
TRIGGER	StimTracker	64	1887.423
TRIGGER	StimTracker	64	1889.642
TRIGGER	StimTracker	64	1891.9848
TRIGGER	StimTracker	128	1894.174
TRIGGER	StimTracker	2	2670.8713
TRIGGER	StimTracker	64	2670.8836
TRIGGER	StimTracker	64	2672.4682
TRIGGER	StimTracker	64	2674.4437
TRIGGER	StimTracker	128	2676.0102
TRIGGER	StimTracker	64	2677.8984
TRIGGER	StimTracker	64	2679.8048
TRIGGER	StimTracker	64	2681.5436
TRIGGER	StimTracker	64	2683.2623
TRIGGER	StimTracker	64	2685.2781
TRIGGER	StimTracker	128	2687.0045
TRIGGER	StimTracker	64	2688.7512
TRIGGER	StimTracker	128	2690.3606
TRIGGER	StimTracker	64	2692.0514
TRIGGER	StimTracker	128	2693.7281
TRIGGER	StimTracker	64	2695.7164
TRIGGER	StimTracker	64	2697.3778
TRIGGER	StimTracker	64	2699.0754
TRIGGER	StimTracker	128	2700.825
TRIGGER	StimTracker	64	2702.7121
TRIGGER	StimTracker	64	2704.3138
TRIGGER	StimTracker	64	2706.2792
TRIGGER	StimTracker	128	2707.8541
TRIGGER	StimTracker	64	2709.6109
TRIGGER	StimTracker	64	2711.1512
TRIGGER	StimTracker	64	2713.0595
TRIGGER	StimTracker	64	2714.9359
TRIGGER	StimTracker	64	2716.5744
TRIGGER	StimTracker	64	2718.4589
TRIGGER	StimTracker	64	2720.2809
TRIGGER	StimTracker	64	2722.2448
TRIGGER	StimTracker	4	2744.3868
TRIGGER	StimTracker	64	2744.3984
TRIGGER	StimTracker	64	2746.8044
TRIGGER	StimTracker	64	2748.4983
TRIGGER	StimTracker	128	2750.261
TRIGGER	StimTracker	64	2752.2505
TRIGGER	StimTracker	64	2753.9369
TRIGGER	StimTracker	64	2756.1214
TRIGGER	StimTracker	64	2757.9577
TRIGGER	StimTracker	64	2759.755
TRIGGER	StimTracker	128	2761.5021
TRIGGER	StimTracker	128	2763.5559
TRIGGER	StimTracker	128	2765.6394
TRIGGER	StimTracker	64	2767.5033
TRIGGER	StimTracker	64	2769.8154
TRIGGER	StimTracker	128	2772.0732
TRIGGER	StimTracker	64	2774.5315
TRIGGER	StimTracker	128	2776.2451
TRIGGER	StimTracker	64	2778.097
TRIGGER	StimTracker	64	2780.1037
TRIGGER	StimTracker	64	2782.2158
TRIGGER	StimTracker	64	2784.2653
TRIGGER	StimTracker	64	2786.0916
TRIGGER	StimTracker	64	2788.3175
TRIGGER	StimTracker	64	2790.4265
TRIGGER	StimTracker	64	2792.2426
TRIGGER	StimTracker	64	2794.4118
TRIGGER	StimTracker	64	2796.4263
TRIGGER	StimTracker	64	2798.2884
TRIGGER	StimTracker	64	2800.4712
TRIGGER	StimTracker	64	2802.1985
TRIGGER	StimTracker	1	2839.4065
TRIGGER	StimTracker	64	2839.4181
TRIGGER	StimTracker	64	2841.1649
TRIGGER	StimTracker	64	2842.9612
TRIGGER	StimTracker	64	2844.5423
TRIGGER	StimTracker	128	2845.986
TRIGGER	StimTracker	64	2847.6434
TRIGGER	StimTracker	64	2849.1441
TRIGGER	StimTracker	64	2850.8727
TRIGGER	StimTracker	64	2852.5054
TRIGGER	StimTracker	128	2854.0021
TRIGGER	StimTracker	64	2855.8314
TRIGGER	StimTracker	64	2857.5747
TRIGGER	StimTracker	128	2859.3809
TRIGGER	StimTracker	64	2860.829
TRIGGER	StimTracker	64	2862.2909
TRIGGER	StimTracker	64	2864.0308
TRIGGER	StimTracker	64	2865.7407
TRIGGER	StimTracker	64	2867.5453
TRIGGER	StimTracker	64	2869.1612
TRIGGER	StimTracker	64	2870.7367
TRIGGER	StimTracker	64	2872.4545
TRIGGER	StimTracker	64	2874.2951
TRIGGER	StimTracker	128	2875.9906
TRIGGER	StimTracker	128	2877.6122
TRIGGER	StimTracker	64	2879.1253
TRIGGER	StimTracker	64	2880.8486
TRIGGER	StimTracker	64	2882.4521
TRIGGER	StimTracker	128	2884.101
TRIGGER	StimTracker	64	2885.9098
TRIGGER	StimTracker	64	2887.7448
TRIGGER	StimTracker	1	2929.7713
TRIGGER	StimTracker	64	2929.7823
TRIGGER	StimTracker	64	2931.6668
TRIGGER	StimTracker	64	2933.4399
TRIGGER	StimTracker	64	2934.8554
TRIGGER	StimTracker	64	2936.2728
TRIGGER	StimTracker	128	2937.7314
TRIGGER	StimTracker	64	2939.2345
TRIGGER	StimTracker	64	2940.6597
TRIGGER	StimTracker	64	2942.2882
TRIGGER	StimTracker	64	2943.8722
TRIGGER	StimTracker	64	2945.5049
TRIGGER	StimTracker	128	2947.3805
TRIGGER	StimTracker	64	2948.8895
TRIGGER	StimTracker	128	2950.4183
TRIGGER	StimTracker	64	2952.2118
TRIGGER	StimTracker	128	2953.7984
TRIGGER	StimTracker	64	2955.2294
TRIGGER	StimTracker	64	2956.8542
TRIGGER	StimTracker	64	2958.6424
TRIGGER	StimTracker	64	2960.2053
TRIGGER	StimTracker	64	2961.9171
TRIGGER	StimTracker	64	2963.6017
TRIGGER	StimTracker	64	2965.2427
TRIGGER	StimTracker	64	2966.8448
TRIGGER	StimTracker	64	2968.685
TRIGGER	StimTracker	128	2970.0979
TRIGGER	StimTracker	64	2971.6012
TRIGGER	StimTracker	64	2973.2405
TRIGGER	StimTracker	64	2974.9473
TRIGGER	StimTracker	128	2976.7991
TRIGGER	StimTracker	1	2986.428
TRIGGER	StimTracker	64	2986.4394
TRIGGER	StimTracker	64	2988.0731
TRIGGER	StimTracker	64	2989.8062
TRIGGER	StimTracker	64	2991.4553
TRIGGER	StimTracker	64	2993.3005
TRIGGER	StimTracker	64	2994.949
TRIGGER	StimTracker	64	2996.6133
TRIGGER	StimTracker	128	2998.2221
TRIGGER	StimTracker	64	2999.753
TRIGGER	StimTracker	64	3001.1553
TRIGGER	StimTracker	64	3002.5518
TRIGGER	StimTracker	64	3004.3664
TRIGGER	StimTracker	128	3005.8968
TRIGGER	StimTracker	64	3007.7437
TRIGGER	StimTracker	64	3009.5142
TRIGGER	StimTracker	64	3011.3131
TRIGGER	StimTracker	64	3013.1456
TRIGGER	StimTracker	128	3014.5808
TRIGGER	StimTracker	64	3016.1939
TRIGGER	StimTracker	64	3018.1008
TRIGGER	StimTracker	64	3019.8369
TRIGGER	StimTracker	128	3021.6464
TRIGGER	StimTracker	64	3023.2504
TRIGGER	StimTracker	64	3024.6186
TRIGGER	StimTracker	128	3026.2928
TRIGGER	StimTracker	64	3027.7689
TRIGGER	StimTracker	64	3029.4496
TRIGGER	StimTracker	64	3031.1737
TRIGGER	StimTracker	128	3032.8913
TRIGGER	StimTracker	64	3034.5998
TRIGGER	StimTracker	2	3084.1441
TRIGGER	StimTracker	128	3084.1563
TRIGGER	StimTracker	128	3085.8074
TRIGGER	StimTracker	64	3087.5498
TRIGGER	StimTracker	64	3089.0834
TRIGGER	StimTracker	64	3090.9168
TRIGGER	StimTracker	64	3092.9233
TRIGGER	StimTracker	64	3094.4925
TRIGGER	StimTracker	128	3096.0288
TRIGGER	StimTracker	128	3098.0044
